idx,tag
c593d7fd658f9ff5bc0c1aee2e9c917e,talks
c593d7fd658f9ff5bc0c1aee2e9c917e,climate change
c593d7fd658f9ff5bc0c1aee2e9c917e,science
c593d7fd658f9ff5bc0c1aee2e9c917e,environment
c593d7fd658f9ff5bc0c1aee2e9c917e,nature
c593d7fd658f9ff5bc0c1aee2e9c917e,technology
c593d7fd658f9ff5bc0c1aee2e9c917e,ecology
c593d7fd658f9ff5bc0c1aee2e9c917e,biodiversity
c593d7fd658f9ff5bc0c1aee2e9c917e,animals
c593d7fd658f9ff5bc0c1aee2e9c917e,community
c593d7fd658f9ff5bc0c1aee2e9c917e,collaboration
8c1fad5ce0dab8908dee527f88697ce2,TED
8c1fad5ce0dab8908dee527f88697ce2,talks
8c1fad5ce0dab8908dee527f88697ce2,education
8c1fad5ce0dab8908dee527f88697ce2,animation
8c1fad5ce0dab8908dee527f88697ce2,TED-Ed
8c1fad5ce0dab8908dee527f88697ce2,psychology
8c1fad5ce0dab8908dee527f88697ce2,history
8c1fad5ce0dab8908dee527f88697ce2,brain
8c1fad5ce0dab8908dee527f88697ce2,science
5be32167a2dcc08470287a6029b7e4c5,TED
5be32167a2dcc08470287a6029b7e4c5,talks
5be32167a2dcc08470287a6029b7e4c5,community
5be32167a2dcc08470287a6029b7e4c5,social change
5be32167a2dcc08470287a6029b7e4c5,humanity
5be32167a2dcc08470287a6029b7e4c5,coronavirus
5be32167a2dcc08470287a6029b7e4c5,pandemic
5be32167a2dcc08470287a6029b7e4c5,politics
5be32167a2dcc08470287a6029b7e4c5,global issues
5be32167a2dcc08470287a6029b7e4c5,religion
5be32167a2dcc08470287a6029b7e4c5,future
5be32167a2dcc08470287a6029b7e4c5,TED Connects
5be32167a2dcc08470287a6029b7e4c5,society
5be32167a2dcc08470287a6029b7e4c5,family
fa2133f1e5a865a5a5044777824fe147,TED
fa2133f1e5a865a5a5044777824fe147,talks
fa2133f1e5a865a5a5044777824fe147,law
fa2133f1e5a865a5a5044777824fe147,justice system
fa2133f1e5a865a5a5044777824fe147,society
fa2133f1e5a865a5a5044777824fe147,inequality
fa2133f1e5a865a5a5044777824fe147,prison
fa2133f1e5a865a5a5044777824fe147,community
fa2133f1e5a865a5a5044777824fe147,United States
fa2133f1e5a865a5a5044777824fe147,social change
fa2133f1e5a865a5a5044777824fe147,crime
fa2133f1e5a865a5a5044777824fe147,criminal justice
586938c5a53d9b916498a893248a5da3,TED
586938c5a53d9b916498a893248a5da3,talks
586938c5a53d9b916498a893248a5da3,humanity
586938c5a53d9b916498a893248a5da3,coronavirus
586938c5a53d9b916498a893248a5da3,communication
586938c5a53d9b916498a893248a5da3,TED Connects
586938c5a53d9b916498a893248a5da3,society
586938c5a53d9b916498a893248a5da3,community
586938c5a53d9b916498a893248a5da3,social change
586938c5a53d9b916498a893248a5da3,family
586938c5a53d9b916498a893248a5da3,mental health
09704782c2fd58e9198a4cc8f04e30d0,TED
09704782c2fd58e9198a4cc8f04e30d0,talks
09704782c2fd58e9198a4cc8f04e30d0,TED-Ed
09704782c2fd58e9198a4cc8f04e30d0,education
09704782c2fd58e9198a4cc8f04e30d0,engineering
09704782c2fd58e9198a4cc8f04e30d0,animation
09704782c2fd58e9198a4cc8f04e30d0,water
09704782c2fd58e9198a4cc8f04e30d0,technology
09704782c2fd58e9198a4cc8f04e30d0,history
09704782c2fd58e9198a4cc8f04e30d0,refugees
09704782c2fd58e9198a4cc8f04e30d0,immigration
d564abb00bb146ff75c7ed2d9b48aadc,TED
d564abb00bb146ff75c7ed2d9b48aadc,talks
d564abb00bb146ff75c7ed2d9b48aadc,history
d564abb00bb146ff75c7ed2d9b48aadc,women
d564abb00bb146ff75c7ed2d9b48aadc,innovation
d564abb00bb146ff75c7ed2d9b48aadc,food
d564abb00bb146ff75c7ed2d9b48aadc,society
9d3f203c5a8a124ec5a1b21fe3ad1842,TED
9d3f203c5a8a124ec5a1b21fe3ad1842,talks
9d3f203c5a8a124ec5a1b21fe3ad1842,women
9d3f203c5a8a124ec5a1b21fe3ad1842,life
9d3f203c5a8a124ec5a1b21fe3ad1842,film
9d3f203c5a8a124ec5a1b21fe3ad1842,leadership
9d3f203c5a8a124ec5a1b21fe3ad1842,social change
c8a830e0143916293557b7276958ac48,TED
c8a830e0143916293557b7276958ac48,talks
c8a830e0143916293557b7276958ac48,women
c8a830e0143916293557b7276958ac48,programming
c8a830e0143916293557b7276958ac48,history
c8a830e0143916293557b7276958ac48,storytelling
c8a830e0143916293557b7276958ac48,computers
f5ae6143fa79ba55deb5e9e720b4c681,TED
f5ae6143fa79ba55deb5e9e720b4c681,talks
f5ae6143fa79ba55deb5e9e720b4c681,Vaccines
f5ae6143fa79ba55deb5e9e720b4c681,disease
f5ae6143fa79ba55deb5e9e720b4c681,public health
f5ae6143fa79ba55deb5e9e720b4c681,medicine
f5ae6143fa79ba55deb5e9e720b4c681,coronavirus
f5ae6143fa79ba55deb5e9e720b4c681,technology
f5ae6143fa79ba55deb5e9e720b4c681,global issues
f5ae6143fa79ba55deb5e9e720b4c681,pandemic
f5ae6143fa79ba55deb5e9e720b4c681,medical research
f5ae6143fa79ba55deb5e9e720b4c681,virus
f5ae6143fa79ba55deb5e9e720b4c681,health care
f5ae6143fa79ba55deb5e9e720b4c681,science
f5ae6143fa79ba55deb5e9e720b4c681,TED Connects
0cdccbb0c544e4909e1b4716f52f2280,TED
0cdccbb0c544e4909e1b4716f52f2280,talks
0cdccbb0c544e4909e1b4716f52f2280,indigenous peoples
0cdccbb0c544e4909e1b4716f52f2280,climate change
0cdccbb0c544e4909e1b4716f52f2280,science
0cdccbb0c544e4909e1b4716f52f2280,environment
0cdccbb0c544e4909e1b4716f52f2280,nature
0cdccbb0c544e4909e1b4716f52f2280,activism
2b48856a1e68b1deaae63aa0eea7b7e9,TED
2b48856a1e68b1deaae63aa0eea7b7e9,talks
2b48856a1e68b1deaae63aa0eea7b7e9,TED Connects
2b48856a1e68b1deaae63aa0eea7b7e9,virus
2b48856a1e68b1deaae63aa0eea7b7e9,coronavirus
2b48856a1e68b1deaae63aa0eea7b7e9,china
2b48856a1e68b1deaae63aa0eea7b7e9,Asia
2b48856a1e68b1deaae63aa0eea7b7e9,communication
2b48856a1e68b1deaae63aa0eea7b7e9,society
2b48856a1e68b1deaae63aa0eea7b7e9,journalism
50e3e579db0eef68a893b76b8199cf81,TED
50e3e579db0eef68a893b76b8199cf81,talks
50e3e579db0eef68a893b76b8199cf81,TED-Ed
50e3e579db0eef68a893b76b8199cf81,education
50e3e579db0eef68a893b76b8199cf81,animation
50e3e579db0eef68a893b76b8199cf81,brain
50e3e579db0eef68a893b76b8199cf81,human body
50e3e579db0eef68a893b76b8199cf81,mental health
50e3e579db0eef68a893b76b8199cf81,emotions
50e3e579db0eef68a893b76b8199cf81,illness
50e3e579db0eef68a893b76b8199cf81,disease
50e3e579db0eef68a893b76b8199cf81,stigma
50e3e579db0eef68a893b76b8199cf81,medicine
66dccf5471154abd3be663c350d5efe2,TED
66dccf5471154abd3be663c350d5efe2,talks
66dccf5471154abd3be663c350d5efe2,work
66dccf5471154abd3be663c350d5efe2,personal growth
66dccf5471154abd3be663c350d5efe2,identity
66dccf5471154abd3be663c350d5efe2,potential
66dccf5471154abd3be663c350d5efe2,business
66dccf5471154abd3be663c350d5efe2,goal-setting
66dccf5471154abd3be663c350d5efe2,success
801e86946c2329fd5726edc0bb3e963d,TED
801e86946c2329fd5726edc0bb3e963d,talks
801e86946c2329fd5726edc0bb3e963d,health care
801e86946c2329fd5726edc0bb3e963d,disease
801e86946c2329fd5726edc0bb3e963d,virus
801e86946c2329fd5726edc0bb3e963d,medicine
801e86946c2329fd5726edc0bb3e963d,global issues
801e86946c2329fd5726edc0bb3e963d,economics
801e86946c2329fd5726edc0bb3e963d,pandemic
801e86946c2329fd5726edc0bb3e963d,TED Connects
801e86946c2329fd5726edc0bb3e963d,coronavirus
7d12cb15860436be16912357f0be08a2,TED
7d12cb15860436be16912357f0be08a2,talks
7d12cb15860436be16912357f0be08a2,social media
7d12cb15860436be16912357f0be08a2,activism
7d12cb15860436be16912357f0be08a2,technology
7d12cb15860436be16912357f0be08a2,South America
7d12cb15860436be16912357f0be08a2,community
7d12cb15860436be16912357f0be08a2,infrastructure
7d12cb15860436be16912357f0be08a2,government
d068844107e5598a288ae47bfec0f2b2,TED
d068844107e5598a288ae47bfec0f2b2,talks
d068844107e5598a288ae47bfec0f2b2,education
d068844107e5598a288ae47bfec0f2b2,engineering
d068844107e5598a288ae47bfec0f2b2,animation
d068844107e5598a288ae47bfec0f2b2,TED-Ed
d068844107e5598a288ae47bfec0f2b2,water
d068844107e5598a288ae47bfec0f2b2,cities
d068844107e5598a288ae47bfec0f2b2,climate change
d068844107e5598a288ae47bfec0f2b2,design
d068844107e5598a288ae47bfec0f2b2,nature
d068844107e5598a288ae47bfec0f2b2,oceans
d068844107e5598a288ae47bfec0f2b2,natural disaster
d068844107e5598a288ae47bfec0f2b2,innovation
d068844107e5598a288ae47bfec0f2b2,invention
d068844107e5598a288ae47bfec0f2b2,technology
d068844107e5598a288ae47bfec0f2b2,infrastructure
3662a6a374fcea54ec738d033b39d82f,TED
3662a6a374fcea54ec738d033b39d82f,talks
3662a6a374fcea54ec738d033b39d82f,cars
3662a6a374fcea54ec738d033b39d82f,technology
3662a6a374fcea54ec738d033b39d82f,demo
3662a6a374fcea54ec738d033b39d82f,transportation
3662a6a374fcea54ec738d033b39d82f,driverless cars
3662a6a374fcea54ec738d033b39d82f,TEDx
cc20b7b4de317a6f4059bd6feb079334,TED
cc20b7b4de317a6f4059bd6feb079334,talks
cc20b7b4de317a6f4059bd6feb079334,emotions
cc20b7b4de317a6f4059bd6feb079334,TED Connects
cc20b7b4de317a6f4059bd6feb079334,personal growth
cc20b7b4de317a6f4059bd6feb079334,communication
cc20b7b4de317a6f4059bd6feb079334,motivation
cc20b7b4de317a6f4059bd6feb079334,psychology
cc20b7b4de317a6f4059bd6feb079334,happiness
cc20b7b4de317a6f4059bd6feb079334,humanity
cc20b7b4de317a6f4059bd6feb079334,virus
cc20b7b4de317a6f4059bd6feb079334,pandemic
cc20b7b4de317a6f4059bd6feb079334,coronavirus
69fe3987d601f0587dc520bfb69677ea,TED
69fe3987d601f0587dc520bfb69677ea,talks
69fe3987d601f0587dc520bfb69677ea,TED-Ed
69fe3987d601f0587dc520bfb69677ea,animation
69fe3987d601f0587dc520bfb69677ea,education
69fe3987d601f0587dc520bfb69677ea,writing
69fe3987d601f0587dc520bfb69677ea,poetry
69fe3987d601f0587dc520bfb69677ea,ancient world
69fe3987d601f0587dc520bfb69677ea,literature
69fe3987d601f0587dc520bfb69677ea,culture
69fe3987d601f0587dc520bfb69677ea,world cultures
69fe3987d601f0587dc520bfb69677ea,religion
69fe3987d601f0587dc520bfb69677ea,history
69fe3987d601f0587dc520bfb69677ea,women
7956226f4de23c38aed5595b450c9b9d,TED
7956226f4de23c38aed5595b450c9b9d,talks
7956226f4de23c38aed5595b450c9b9d,sex
7956226f4de23c38aed5595b450c9b9d,science
7956226f4de23c38aed5595b450c9b9d,genetics
7956226f4de23c38aed5595b450c9b9d,DNA
7956226f4de23c38aed5595b450c9b9d,humanity
7956226f4de23c38aed5595b450c9b9d,history
7956226f4de23c38aed5595b450c9b9d,gender
e6e196b3a82c9cb3ff7eaac009267412,TED
e6e196b3a82c9cb3ff7eaac009267412,talks
e6e196b3a82c9cb3ff7eaac009267412,science fiction
e6e196b3a82c9cb3ff7eaac009267412,future
e6e196b3a82c9cb3ff7eaac009267412,creativity
e6e196b3a82c9cb3ff7eaac009267412,society
e6e196b3a82c9cb3ff7eaac009267412,writing
e6e196b3a82c9cb3ff7eaac009267412,storytelling
bbef254b3f90c8278f977ea8121a57d2,TED
bbef254b3f90c8278f977ea8121a57d2,talks
bbef254b3f90c8278f977ea8121a57d2,TED-Ed
bbef254b3f90c8278f977ea8121a57d2,animation
bbef254b3f90c8278f977ea8121a57d2,education
bbef254b3f90c8278f977ea8121a57d2,history
bbef254b3f90c8278f977ea8121a57d2,Europe
bbef254b3f90c8278f977ea8121a57d2,religion
bbef254b3f90c8278f977ea8121a57d2,war
bbef254b3f90c8278f977ea8121a57d2,culture
bbef254b3f90c8278f977ea8121a57d2,world cultures
0074c1012512e2dcf400b1e9c035208e,TED
0074c1012512e2dcf400b1e9c035208e,talks
0074c1012512e2dcf400b1e9c035208e,economics
0074c1012512e2dcf400b1e9c035208e,social change
0074c1012512e2dcf400b1e9c035208e,society
0074c1012512e2dcf400b1e9c035208e,women
0074c1012512e2dcf400b1e9c035208e,women in business
0074c1012512e2dcf400b1e9c035208e,finance
0074c1012512e2dcf400b1e9c035208e,investment
0074c1012512e2dcf400b1e9c035208e,development
0074c1012512e2dcf400b1e9c035208e,microfinance
0074c1012512e2dcf400b1e9c035208e,business
5f8a936887d97bc9919f1a480d104afb,TED
5f8a936887d97bc9919f1a480d104afb,talks
5f8a936887d97bc9919f1a480d104afb,agriculture
5f8a936887d97bc9919f1a480d104afb,farming
5f8a936887d97bc9919f1a480d104afb,TEDx
5f8a936887d97bc9919f1a480d104afb,policy
5f8a936887d97bc9919f1a480d104afb,economics
5f8a936887d97bc9919f1a480d104afb,community
5f8a936887d97bc9919f1a480d104afb,food
1a9a6a4962016618a35dd84798a944d7,TED
1a9a6a4962016618a35dd84798a944d7,talks
1a9a6a4962016618a35dd84798a944d7,TED-Ed
1a9a6a4962016618a35dd84798a944d7,agriculture
1a9a6a4962016618a35dd84798a944d7,education
1a9a6a4962016618a35dd84798a944d7,animation
1a9a6a4962016618a35dd84798a944d7,animals
1a9a6a4962016618a35dd84798a944d7,activism
1a9a6a4962016618a35dd84798a944d7,science
1a9a6a4962016618a35dd84798a944d7,environment
1a9a6a4962016618a35dd84798a944d7,marine biology
1a9a6a4962016618a35dd84798a944d7,climate change
1a9a6a4962016618a35dd84798a944d7,feminism
1a9a6a4962016618a35dd84798a944d7,women
1a9a6a4962016618a35dd84798a944d7,biology
6521f0504d531b20520cec1473a4550e,TED
6521f0504d531b20520cec1473a4550e,talks
6521f0504d531b20520cec1473a4550e,AI
6521f0504d531b20520cec1473a4550e,robots
6521f0504d531b20520cec1473a4550e,technology
6521f0504d531b20520cec1473a4550e,future
6521f0504d531b20520cec1473a4550e,computers
6521f0504d531b20520cec1473a4550e,society
1e7aa4ab0c99b7ae0939079e546ca811,TED
1e7aa4ab0c99b7ae0939079e546ca811,talks
1e7aa4ab0c99b7ae0939079e546ca811,pandemic
1e7aa4ab0c99b7ae0939079e546ca811,virus
1e7aa4ab0c99b7ae0939079e546ca811,health
1e7aa4ab0c99b7ae0939079e546ca811,illness
1e7aa4ab0c99b7ae0939079e546ca811,health care
1e7aa4ab0c99b7ae0939079e546ca811,TEDx
1e7aa4ab0c99b7ae0939079e546ca811,global issues
1e7aa4ab0c99b7ae0939079e546ca811,TED Fellows
1e7aa4ab0c99b7ae0939079e546ca811,coronavirus
21e445747a81a2a3cc0ce460ecc7ff1a,TED
21e445747a81a2a3cc0ce460ecc7ff1a,talks
21e445747a81a2a3cc0ce460ecc7ff1a,pandemic
21e445747a81a2a3cc0ce460ecc7ff1a,virus
21e445747a81a2a3cc0ce460ecc7ff1a,Vaccines
21e445747a81a2a3cc0ce460ecc7ff1a,illness
21e445747a81a2a3cc0ce460ecc7ff1a,health
21e445747a81a2a3cc0ce460ecc7ff1a,disease
21e445747a81a2a3cc0ce460ecc7ff1a,coronavirus
da4e5d625c05a0dd04438d62955d9151,TED
da4e5d625c05a0dd04438d62955d9151,talks
da4e5d625c05a0dd04438d62955d9151,education
da4e5d625c05a0dd04438d62955d9151,TED-Ed
da4e5d625c05a0dd04438d62955d9151,medicine
da4e5d625c05a0dd04438d62955d9151,animation
da4e5d625c05a0dd04438d62955d9151,human body
da4e5d625c05a0dd04438d62955d9151,history
da4e5d625c05a0dd04438d62955d9151,medical research
da4e5d625c05a0dd04438d62955d9151,science
da4e5d625c05a0dd04438d62955d9151,bacteria
da4e5d625c05a0dd04438d62955d9151,biology
da4e5d625c05a0dd04438d62955d9151,physiology
da4e5d625c05a0dd04438d62955d9151,invention
da4e5d625c05a0dd04438d62955d9151,disease
da4e5d625c05a0dd04438d62955d9151,virus
da4e5d625c05a0dd04438d62955d9151,illness
da4e5d625c05a0dd04438d62955d9151,pharmaceuticals
4e1a6a4fee0243d759252b0df64ce88e,TED
4e1a6a4fee0243d759252b0df64ce88e,talks
4e1a6a4fee0243d759252b0df64ce88e,human body
4e1a6a4fee0243d759252b0df64ce88e,biology
4e1a6a4fee0243d759252b0df64ce88e,women
4e1a6a4fee0243d759252b0df64ce88e,society
4e1a6a4fee0243d759252b0df64ce88e,social change
4e1a6a4fee0243d759252b0df64ce88e,feminism
4e1a6a4fee0243d759252b0df64ce88e,public health
4e1a6a4fee0243d759252b0df64ce88e,health care
0525aec6b519ddb1d3e5f95694833fa5,TED
0525aec6b519ddb1d3e5f95694833fa5,talks
0525aec6b519ddb1d3e5f95694833fa5,climate change
0525aec6b519ddb1d3e5f95694833fa5,sustainability
0525aec6b519ddb1d3e5f95694833fa5,environment
0525aec6b519ddb1d3e5f95694833fa5,Anthropocene
0525aec6b519ddb1d3e5f95694833fa5,future
0525aec6b519ddb1d3e5f95694833fa5,science
0525aec6b519ddb1d3e5f95694833fa5,social change
0525aec6b519ddb1d3e5f95694833fa5,society
3e080d2b563873460d870ca518c36b34,TED
3e080d2b563873460d870ca518c36b34,talks
3e080d2b563873460d870ca518c36b34,science
3e080d2b563873460d870ca518c36b34,biology
3e080d2b563873460d870ca518c36b34,neuroscience
3e080d2b563873460d870ca518c36b34,physics
3e080d2b563873460d870ca518c36b34,Senses
3e080d2b563873460d870ca518c36b34,human body
3e080d2b563873460d870ca518c36b34,hearing
23e788d0fced999bfa90e708ef32f8a4,TED
23e788d0fced999bfa90e708ef32f8a4,talks
23e788d0fced999bfa90e708ef32f8a4,society
23e788d0fced999bfa90e708ef32f8a4,life
23e788d0fced999bfa90e708ef32f8a4,disability
23e788d0fced999bfa90e708ef32f8a4,activism
23e788d0fced999bfa90e708ef32f8a4,innovation
63c86a14825aa35326adfc8e7734a5c3,TED
63c86a14825aa35326adfc8e7734a5c3,talks
63c86a14825aa35326adfc8e7734a5c3,animation
63c86a14825aa35326adfc8e7734a5c3,TED-Ed
63c86a14825aa35326adfc8e7734a5c3,death
63c86a14825aa35326adfc8e7734a5c3,education
63c86a14825aa35326adfc8e7734a5c3,culture
63c86a14825aa35326adfc8e7734a5c3,life
63c86a14825aa35326adfc8e7734a5c3,history
63c86a14825aa35326adfc8e7734a5c3,storytelling
63c86a14825aa35326adfc8e7734a5c3,world cultures
63c86a14825aa35326adfc8e7734a5c3,medicine
63c86a14825aa35326adfc8e7734a5c3,literature
ba54500eba96096b0cb825e86443825a,TED
ba54500eba96096b0cb825e86443825a,talks
ba54500eba96096b0cb825e86443825a,education
ba54500eba96096b0cb825e86443825a,race
ba54500eba96096b0cb825e86443825a,history
ba54500eba96096b0cb825e86443825a,society
ba54500eba96096b0cb825e86443825a,TEDx
ba54500eba96096b0cb825e86443825a,culture
ba54500eba96096b0cb825e86443825a,communication
ba54500eba96096b0cb825e86443825a,storytelling
5372b8c83c43e324b6402a6c0330be5d,TED
5372b8c83c43e324b6402a6c0330be5d,talks
5372b8c83c43e324b6402a6c0330be5d,oceans
5372b8c83c43e324b6402a6c0330be5d,sound
5372b8c83c43e324b6402a6c0330be5d,science
5372b8c83c43e324b6402a6c0330be5d,marine biology
5372b8c83c43e324b6402a6c0330be5d,nature
5372b8c83c43e324b6402a6c0330be5d,pollution
5372b8c83c43e324b6402a6c0330be5d,animals
a1497aca438d56b84dc0193fe5ca0fbe,TED
a1497aca438d56b84dc0193fe5ca0fbe,talks
a1497aca438d56b84dc0193fe5ca0fbe,TED-Ed
a1497aca438d56b84dc0193fe5ca0fbe,novel
a1497aca438d56b84dc0193fe5ca0fbe,philosophy
a1497aca438d56b84dc0193fe5ca0fbe,writing
a1497aca438d56b84dc0193fe5ca0fbe,feminism
a1497aca438d56b84dc0193fe5ca0fbe,history
a1497aca438d56b84dc0193fe5ca0fbe,women
a1497aca438d56b84dc0193fe5ca0fbe,literature
a1497aca438d56b84dc0193fe5ca0fbe,book
a1497aca438d56b84dc0193fe5ca0fbe,books
53bf4dd0f7ee41aebe0b1855137fb2d5,TED
53bf4dd0f7ee41aebe0b1855137fb2d5,talks
53bf4dd0f7ee41aebe0b1855137fb2d5,science
53bf4dd0f7ee41aebe0b1855137fb2d5,brain
53bf4dd0f7ee41aebe0b1855137fb2d5,women
53bf4dd0f7ee41aebe0b1855137fb2d5,health
53bf4dd0f7ee41aebe0b1855137fb2d5,neuroscience
53bf4dd0f7ee41aebe0b1855137fb2d5,medical research
53bf4dd0f7ee41aebe0b1855137fb2d5,human body
53bf4dd0f7ee41aebe0b1855137fb2d5,biology
93a6023e92f55b5e3516df7f69738beb,TED
93a6023e92f55b5e3516df7f69738beb,talks
93a6023e92f55b5e3516df7f69738beb,technology
93a6023e92f55b5e3516df7f69738beb,data
93a6023e92f55b5e3516df7f69738beb,government
93a6023e92f55b5e3516df7f69738beb,infrastructure
93a6023e92f55b5e3516df7f69738beb,privacy
93a6023e92f55b5e3516df7f69738beb,computers
93a6023e92f55b5e3516df7f69738beb,state-building
93a6023e92f55b5e3516df7f69738beb,development
db23fcd41cf1d29973d99b3e40e76e31,TED
db23fcd41cf1d29973d99b3e40e76e31,talks
db23fcd41cf1d29973d99b3e40e76e31,TED-Ed
db23fcd41cf1d29973d99b3e40e76e31,education
db23fcd41cf1d29973d99b3e40e76e31,animation
db23fcd41cf1d29973d99b3e40e76e31,singer
db23fcd41cf1d29973d99b3e40e76e31,arts
db23fcd41cf1d29973d99b3e40e76e31,vocals
db23fcd41cf1d29973d99b3e40e76e31,physics
db23fcd41cf1d29973d99b3e40e76e31,human body
db23fcd41cf1d29973d99b3e40e76e31,physiology
5c0d8f75d55a413648cb705b502a2b93,TED
5c0d8f75d55a413648cb705b502a2b93,talks
5c0d8f75d55a413648cb705b502a2b93,gender
5c0d8f75d55a413648cb705b502a2b93,gender equality
5c0d8f75d55a413648cb705b502a2b93,Gender spectrum
5c0d8f75d55a413648cb705b502a2b93,culture
5c0d8f75d55a413648cb705b502a2b93,society
5c0d8f75d55a413648cb705b502a2b93,social change
5c0d8f75d55a413648cb705b502a2b93,history
5c0d8f75d55a413648cb705b502a2b93,Transgender
5c0d8f75d55a413648cb705b502a2b93,LGBT
f14e7d08564e3ffc76e1b0d058170d4a,TED
f14e7d08564e3ffc76e1b0d058170d4a,talks
f14e7d08564e3ffc76e1b0d058170d4a,gender equality
f14e7d08564e3ffc76e1b0d058170d4a,public health
f14e7d08564e3ffc76e1b0d058170d4a,education
f14e7d08564e3ffc76e1b0d058170d4a,Africa
f14e7d08564e3ffc76e1b0d058170d4a,inequality
f14e7d08564e3ffc76e1b0d058170d4a,women
f14e7d08564e3ffc76e1b0d058170d4a,community
f14e7d08564e3ffc76e1b0d058170d4a,activism
f14e7d08564e3ffc76e1b0d058170d4a,social change
0a32870bdf03f29da4951da4cc1c3880,TED
0a32870bdf03f29da4951da4cc1c3880,talks
0a32870bdf03f29da4951da4cc1c3880,TED-Ed
0a32870bdf03f29da4951da4cc1c3880,animation
0a32870bdf03f29da4951da4cc1c3880,education
0a32870bdf03f29da4951da4cc1c3880,science
0a32870bdf03f29da4951da4cc1c3880,Moon
0a32870bdf03f29da4951da4cc1c3880,technology
0a32870bdf03f29da4951da4cc1c3880,women
0a32870bdf03f29da4951da4cc1c3880,software
0a32870bdf03f29da4951da4cc1c3880,invention
0a32870bdf03f29da4951da4cc1c3880,feminism
0a32870bdf03f29da4951da4cc1c3880,computers
0a32870bdf03f29da4951da4cc1c3880,innovation
0a32870bdf03f29da4951da4cc1c3880,code
0a32870bdf03f29da4951da4cc1c3880,history
0a32870bdf03f29da4951da4cc1c3880,space
0a32870bdf03f29da4951da4cc1c3880,engineering
429ab8f1396554b0ac090830e8d9f7b3,TED
429ab8f1396554b0ac090830e8d9f7b3,talks
429ab8f1396554b0ac090830e8d9f7b3,neuroscience
429ab8f1396554b0ac090830e8d9f7b3,brain
429ab8f1396554b0ac090830e8d9f7b3,psychology
429ab8f1396554b0ac090830e8d9f7b3,mental health
429ab8f1396554b0ac090830e8d9f7b3,science
429ab8f1396554b0ac090830e8d9f7b3,medical research
6e4888a48bcd85008f345c55c33777f6,TED
6e4888a48bcd85008f345c55c33777f6,talks
6e4888a48bcd85008f345c55c33777f6,time
6e4888a48bcd85008f345c55c33777f6,space
6e4888a48bcd85008f345c55c33777f6,NASA
