idx,main_speaker,title,details,posted,url,num_views
2b48856a1e68b1deaae63aa0eea7b7e9,Gary Liu,What the world can learn from China's response to the coronavirus,"From Hong Kong, South China Morning Post CEO Gary Liu tracks China's response to the coronavirus pandemic -- from the initial outbreak in Wuhan to the shutdown of Hubei province and the containment measures taken across its major cities. Sharing insights into how the culture in places like Hong Kong and South Korea contributed to fast action against the virus, Liu identifies lessons people across the world can use to stop its spread. (This virtual conversation is part of the TED Connects series, hosted by head of TED Chris Anderson and current affairs curator Whitney Pennington Rodgers. Recorded March 25, 2020)",Posted Mar 2020,https://www.ted.com/talks/gary_liu_what_the_world_can_learn_from_china_s_response_to_the_coronavirus,
50e3e579db0eef68a893b76b8199cf81,Anees Bahji,What is schizophrenia?,"Schizophrenia was first identified more than a century ago, but we still don't know its exact causes. It remains one of the most misunderstood and stigmatized illnesses today. So what do we actually know about its symptoms, causes, and treatments? Anees Bahji investigates. [Directed by Artrake Studio, narrated by Susan Zimmerman, music by Stephen LaRosa].",Posted Mar 2020,https://www.ted.com/talks/anees_bahji_what_is_schizophrenia,
66dccf5471154abd3be663c350d5efe2,Noeline Kirabo,2 questions to uncover your passion — and turn it into a career,What's your passion? Social entrepreneur Noeline Kirabo reflects on her work helping out-of-school young people in Uganda turn their passions into profitable businesses -- and shares the two questions you can ask yourself to begin doing the same.,Posted Mar 2020,https://www.ted.com/talks/noeline_kirabo_2_questions_to_uncover_your_passion_and_turn_it_into_a_career,
801e86946c2329fd5726edc0bb3e963d,Bill Gates,How we must respond to the coronavirus pandemic,"Philanthropist and Microsoft cofounder Bill Gates offers insights into the COVID-19 pandemic, discussing why testing and self-isolation are essential, which medical advancements show promise and what it will take for the world to endure this crisis. (This virtual conversation is part of the TED Connects series, hosted by head of TED Chris Anderson and current affairs curator Whitney Pennington Rodgers. Recorded March 24, 2020)",Posted Mar 2020,https://www.ted.com/talks/bill_gates_how_we_must_respond_to_the_coronavirus_pandemic,
7d12cb15860436be16912357f0be08a2,Johanna Figueira,"Simple, effective tech to connect communities in crisis","The world is more connected than ever, but some communities are still cut off from vital resources like electricity and health care. In this solution-oriented talk, tech activist Johanna Figueira discusses her work with Code for Venezuela -- a platform that helps Venezuelans gain access to vital information and medical supplies -- and shares ideas for how it could be used as a model to help other communities in need.",Posted Mar 2020,https://www.ted.com/talks/johanna_figueira_simple_effective_tech_to_connect_communities_in_crisis,
d068844107e5598a288ae47bfec0f2b2,Stefan Al,Why isn't the Netherlands underwater?,"In January 1953, a tidal surge shook the North Sea. The titanic waves flooded the Dutch coastline, killing almost 2,000 people. 54 years later, a similar storm threatened the region. But this time, they were ready. This was thanks to a massive, interlocking system known as the Delta Works— the most sophisticated flood prevention project in the world. Stefan Al dives into this marvel of engineering. [Directed by JodyPrody, narrated by Addison Anderson, music by André Aires / AIM Creative Studios].",Posted Mar 2020,https://www.ted.com/talks/stefan_al_why_isn_t_the_netherlands_underwater,
3662a6a374fcea54ec738d033b39d82f,David Lindell,A camera that can see around corners,"To work safely, self-driving cars must avoid obstacles -- including those just out of sight. And for this to happen, we need technology that sees better than humans can, says electrical engineer David Lindell. Buckle up for a quick, groundbreaking tech demo as Lindell explains the significant and versatile potential of a high-speed camera that can detect objects hidden around corners.",Posted Mar 2020,https://www.ted.com/talks/david_lindell_a_camera_that_can_see_around_corners,
cc20b7b4de317a6f4059bd6feb079334,Susan David,How to be your best self in times of crisis,"""Life's beauty is inseparable from its fragility,"" says psychologist Susan David. In a special virtual conversation, she shares wisdom on how to build resilience, courage and joy in the midst of the coronavirus pandemic. Responding to listeners' questions from across the globe, she offers ways to talk to your children about their emotions, keep focus during the crisis and help those working on the front lines. (This virtual conversation is part of the TED Connects series, hosted by head of TED Chris Anderson and current affairs curator Whitney Pennington Rodgers. Recorded March 23, 2020)",Posted Mar 2020,https://www.ted.com/talks/susan_david_how_to_be_your_best_self_in_times_of_crisis,
69fe3987d601f0587dc520bfb69677ea,Soraya Field Fiorio,Who was the world's first author?,"4,300 years ago in ancient Sumer, the most powerful person in the city of Ur was banished to wander the vast desert. Her name was Enheduanna, and by the time of her exile, she had written forty-two hymns and three epic poems— and Sumer hadn't heard the last of her. Who was this woman, and why was she exiled? Soraya Field Fiorio details the life of history's first author. [Directed by Laura White, narrated by Christina Greer, music by Phil Brookes].",Posted Mar 2020,https://www.ted.com/talks/soraya_field_fiorio_who_was_the_world_s_first_author,
7956226f4de23c38aed5595b450c9b9d,Molly Webster,"The weird history of the ""sex chromosomes""","The common thinking on biological sex goes like this: females have two X chromosomes in their cells, while males have one X and one Y. In this myth-busting talk, science writer and podcaster Molly Webster shows why the so-called ""sex chromosomes"" are more complicated than this simple definition -- and reveals why we should think about them differently.
",Posted Mar 2020,https://www.ted.com/talks/molly_webster_the_weird_history_of_the_sex_chromosomes,
e6e196b3a82c9cb3ff7eaac009267412,Charlie Jane Anders,"Go ahead, dream about the future","""You don't predict the future -- you imagine the future,"" says sci-fi writer Charlie Jane Anders. In a talk that's part dream, part research-based extrapolation, she takes us on a wild, speculative tour of the delights and challenges the future may hold -- and shows how dreaming up weird, futuristic possibilities empowers us to construct a better tomorrow.",Posted Mar 2020,https://www.ted.com/talks/charlie_jane_anders_go_ahead_dream_about_the_future,
bbef254b3f90c8278f977ea8121a57d2,Matteo Salvadore,The imaginary king who changed the real world,"In 1165, copies of a strange letter began to circulate throughout Europe. It spoke of a fantastical realm, containing the Tower of Babel and the Fountain of Youth— all ruled over by the letter's mysterious author: Prester John. Who was this powerful ruler, and was he even real? Matteo Salvadore shares the legend of a mythical king who impacted the decisions of European leaders for 400 years. [Directed by Anna Nowakowska, narrated by Addison Anderson, music by Cam Misirlioglu / WORKPLAYWORK].",Posted Mar 2020,https://www.ted.com/talks/matteo_salvadore_the_imaginary_king_who_changed_the_real_world,
0074c1012512e2dcf400b1e9c035208e,Angie Murimirwa,How repaying loans with social service transforms communities,"What if you could repay loans through volunteering and mentorship instead of money? Activist Angie Murimirwa shares how a game-changing economic tool known as ""social interest"" is reinvigorating sub-Saharan communities once trapped in cycles of poverty. Join her as she explains how this approach to lending is creating opportunities for thousands of African women and girls -- and shows why this model can be replicated anywhere with lasting effects.",Posted Mar 2020,https://www.ted.com/talks/angie_murimirwa_how_repaying_loans_with_social_service_transforms_communities,
5f8a936887d97bc9919f1a480d104afb,Eric Sannerud,"Without farmers, you'd be hungry, naked and sober","Farmers keep us fed and our economies stable, but in the US they're retiring faster than they're being replaced. Take a crash course in agricultural policy with Eric Sannerud to see why this problem can't be solved by simply buying from your local farmer's market -- and learn how you can use your vote to create a better future for farmers.",Posted Mar 2020,https://www.ted.com/talks/eric_sannerud_without_farmers_you_d_be_hungry_naked_and_sober_mar_2020,
1a9a6a4962016618a35dd84798a944d7,Mark Lytle,How one scientist took on the chemical industry,"In 1958, after receiving a letter describing the deaths of songbirds due to the pesticide known as DDT, Rachel Carson began an investigation into the misuse of chemicals and their toll on nature. In 1962, she published her findings in ""Silent Spring,"" which immediately drew both applause and impassioned dissent. How did this biologist and writer ignite such controversy? Mark Lytle investigates. [Directed by Héloïse Dorsan Rachet, narrated by Susan Zimmerman, music by Luke O'Malley].",Posted Mar 2020,https://www.ted.com/talks/mark_lytle_how_one_scientist_took_on_the_chemical_industry,
6521f0504d531b20520cec1473a4550e,Lucy Farey-Jones,A fascinating time capsule of human feelings toward AI,How comfortable are you with robots taking over your life? Covering a wide range of potential applications -- from the mundane (robot house cleaner) to the mischievous (robot sex partner) to the downright macabre (uploading your brain to live on after death) -- technology strategist Lucy Farey-Jones shares data-backed evidence of how our willingness to accept AI may be radically changing.,Posted Mar 2020,https://www.ted.com/talks/lucy_farey_jones_a_fascinating_time_capsule_of_human_feelings_toward_ai,
1e7aa4ab0c99b7ae0939079e546ca811,Alanna Shaikh,Why COVID-19 is hitting us now — and how to prepare for the next outbreak,"Where did the new coronavirus originate, how did it spread so fast -- and what's next? Sharing insights from the outbreak, global health expert and TED Fellow Alanna Shaikh traces the spread of COVID-19, discusses why travel restrictions aren't effective and highlights the medical changes needed worldwide to prepare for the next pandemic. ""We need to make sure that every country in the world has the capacity to identify new diseases and treat them,"" she says. (Recorded March 5, 2020)",Posted Mar 2020,https://www.ted.com/talks/alanna_shaikh_why_covid_19_is_hitting_us_now_and_how_to_prepare_for_the_next_outbreak,
21e445747a81a2a3cc0ce460ecc7ff1a,Adam Kucharski,How can we control the coronavirus pandemic?,"As the threat of COVID-19 continues, infectious disease expert Adam Kucharski answers five key questions about the novel coronavirus, providing necessary perspective on its transmission, how governments have responded and what might need to change about our social behavior to end the pandemic. (This video is excerpted from a 70-minute interview between Kucharski and head of TED Chris Anderson, recorded March 11, 2020. Listen to the full interview at go.ted.com/adamkucharski.)",Posted Mar 2020,https://www.ted.com/talks/adam_kucharski_how_can_we_control_the_coronavirus_pandemic,
da4e5d625c05a0dd04438d62955d9151,Gerry Wright,How can we solve the antibiotic resistance crisis?,"Antibiotics: behind the scenes, they enable much of modern medicine. We use them to cure infectious diseases, and to safely facilitate everything from surgery to chemotherapy to organ transplants. But we've stopped discovering new ones and we're at risk of losing them forever. How did we get into this situation? Gerry Wright shares what we can do about antibiotic resistance. [Directed by Artrake Studio, narrated by Addison Anderson, music by Stephen LaRosa].",Posted Mar 2020,https://www.ted.com/talks/gerry_wright_how_can_we_solve_the_antibiotic_resistance_crisis,
4e1a6a4fee0243d759252b0df64ce88e,Ananya Grover,A campaign for period positivity,"Having your period is exhausting -- and for many people across the world, menstruation is even more challenging because of stigmas and difficulty getting basic hygiene supplies, says social activist Ananya Grover. In this uplifting, actionable talk, she shares how ""Pravahkriti,"" her campaign to spread period positivity, creatively engages with everyone to promote menstrual health, raise awareness and break taboos around periods.",Posted Mar 2020,https://www.ted.com/talks/ananya_grover_a_campaign_for_period_positivity,
0525aec6b519ddb1d3e5f95694833fa5,David Wallace-Wells,How we could change the planet's climate future,"The climate crisis is too vast and complicated to solve with a silver bullet, says author David Wallace-Wells. What we need is a shift in how we live. Follow along as he lays out some of the dramatic actions we could take to build a livable, prosperous world in the age of global warming.",Posted Mar 2020,https://www.ted.com/talks/david_wallace_wells_how_we_could_change_the_planet_s_climate_future,
3e080d2b563873460d870ca518c36b34,Jim Hudspeth,"The beautiful, mysterious science of how you hear","Have you ever wondered how your ears work? In this delightful and fascinating talk, biophysicist Jim Hudspeth demonstrates the wonderfully simple yet astonishingly powerful mechanics of hair cells, the microscopic powerhouses that make hearing possible -- and explains how, when it's really quiet, your ears will begin to beam out a spectrum of sounds unique to you.",Posted Mar 2020,https://www.ted.com/talks/jim_hudspeth_the_beautiful_mysterious_science_of_how_you_hear,
23e788d0fced999bfa90e708ef32f8a4,Rosario Perazolo Masjoan,¿Cuándo te importa mi silla de ruedas?,"Cuando empezó a usar una silla de ruedas, Rosario Perazolo Masjuan siguió siendo la misma, pero la manera en la que maneja el mundo cambió. Ahora esta activista trabaja para transformar la realidad en la que vivimos para que esta refleje una sociedad más inclusiva y accesible para todos.",Posted Mar 2020,https://www.ted.com/talks/rosario_perazolo_masjoan_cuando_te_importa_mi_silla_de_ruedas,
63c86a14825aa35326adfc8e7734a5c3,Iseult Gillespie,The tale of the doctor who defied Death,"A husband and wife were in despair. The woman had just given birth to their 13th child, and the growing family was quickly running out of food and money. Wandering into the woods, the father encountered a skeletal figure with sunken eyes and a gaunt face: this was Death himself, come to offer his services as Godfather. Iseult Gillespie tells the tale of Death and the doctor. [Directed by Yael Reisfeld, narrated by Jack Cutmore-Scott, music by Jarrett Farkas].",Posted Mar 2020,https://www.ted.com/talks/iseult_gillespie_the_tale_of_the_doctor_who_defied_death,
ba54500eba96096b0cb825e86443825a,Elizabeth Stordeur Pryor,Why it's so hard to talk about the N-word,"Historian Elizabeth Stordeur Pryor leads a thoughtful and history-backed examination of one of the most divisive words in the English language: the N-word. Drawing from personal experience, she explains how reflecting on our points of encounter with the word can help promote productive discussions and, ultimately, create a framework that reshapes education around the complicated history of racism in the US.",Posted Mar 2020,https://www.ted.com/talks/elizabeth_stordeur_pryor_why_it_s_so_hard_to_talk_about_the_n_word,
5372b8c83c43e324b6402a6c0330be5d,Nicola Jones,The dangers of a noisy ocean — and how we can quiet it down,"The ocean is a naturally noisy place full of singing whales, grunting fish, snapping shrimp, cracking ice, wind and rain. But human-made sounds -- from ship engines to oil drilling -- have become an acute threat to marine life, says science journalist Nicola Jones. Watch (and listen) as she discusses the strange things that happen to underwater creatures in the face of ocean noise pollution -- and shares straightforward ways we can dial down the sound to see almost immediate impacts.",Posted Mar 2020,https://www.ted.com/talks/nicola_jones_the_dangers_of_a_noisy_ocean_and_how_we_can_quiet_it_down,
a1497aca438d56b84dc0193fe5ca0fbe,Iseult Gillespie,The meaning of life according to Simone de Beauvoir,"At the age of 21, Simone de Beauvoir became the youngest person to take the philosophy exams at France's most esteemed university. But as soon as she mastered the rules of philosophy, she wanted to break them. Her desire to explore the physical world to its fullest would shape her life, and eventually, inspire radical new philosophies. Iseult Gillespie explores the life of the revolutionary thinker. [Directed by Sarah Saidan, narrated by Bethany Cutmore-Scott, music by Stephen LaRosa].",Posted Mar 2020,https://www.ted.com/talks/iseult_gillespie_the_meaning_of_life_according_to_simone_de_beauvoir,
53bf4dd0f7ee41aebe0b1855137fb2d5,Lisa Mosconi,How menopause affects the brain,"Many of the symptoms of menopause -- hot flashes, night sweats, insomnia, memory lapses, depression and anxiety -- start in the brain. How exactly does menopause impact cognitive health? Sharing groundbreaking findings from her research, neuroscientist Lisa Mosconi reveals how decreasing hormonal levels affect brain aging -- and shares simple lifestyle changes you can make to support lifelong brain health.",Posted Mar 2020,https://www.ted.com/talks/lisa_mosconi_how_menopause_affects_the_brain,
93a6023e92f55b5e3516df7f69738beb,Matt Cutts,What happens when a Silicon Valley technologist works for the government,"What if the government ran more like Silicon Valley? Engineer Matt Cutts shares why he decided to leave Google (where he worked for nearly 17 years) for a career in the US government -- and makes the case that if you really want to make an impact, go where your help is needed most.",Posted Mar 2020,https://www.ted.com/talks/matt_cutts_what_happens_when_a_silicon_valley_technologist_works_for_the_government,
db23fcd41cf1d29973d99b3e40e76e31,Ming Luke,"What's a squillo, and why do opera singers need it?","An orchestra fills an opera house with music, but a singer's voice soars above the instruments. Its melody rings out across thousands of patrons— all without any assistance from a microphone. How is it possible that a single voice can be heard so clearly? The answer lies in the physics of the human voice. Ming Luke explains the carefully honed technique of an expert opera singer. [Directed by Franz Palomares, narrated by Addison Anderson].",Posted Mar 2020,https://www.ted.com/talks/ming_luke_what_s_a_squillo_and_why_do_opera_singers_need_it,
5c0d8f75d55a413648cb705b502a2b93,France Villarta,The gender-fluid history of the Philippines,"In much of the world, gender is viewed as binary: man or woman, each assigned characteristics and traits designated by biological sex. But that's not the case everywhere, says France Villarta. In a talk that's part cultural love letter, part history lesson, he details the legacy of gender fluidity and inclusivity in his native Philippines -- and emphasizes the universal beauty of all people, regardless of society's labels.",Posted Mar 2020,https://www.ted.com/talks/france_villarta_the_gender_fluid_history_of_the_philippines,
f14e7d08564e3ffc76e1b0d058170d4a,Agnes Binagwaho,How women are revolutionizing Rwanda,"In 1996, Agnes Binagwaho returned home to Rwanda in the aftermath of its genocide. She considered leaving amid the overwhelming devastation, but women in her community motivated her to stay and help rebuild -- and she's glad she did. In an inspiring talk, Binagwaho reflects on her work as Rwanda's former Minister of Health and discusses her new women's education initiative for the country, which strives to create one of the greatest levels of gender equality worldwide.",Posted Mar 2020,https://www.ted.com/talks/agnes_binagwaho_how_women_are_revolutionizing_rwanda,
0a32870bdf03f29da4951da4cc1c3880,Matt Porter and Margaret Hamilton,How one woman put man on the moon,"The Apollo 11 moon landing was about the astronauts, mission control, software and hardware all working together as a seamless integrated system. None of which would have been possible without the contributions of one engineer: Margaret Hamilton. Who was this pioneer? Matt Porter and Margaret Hamilton detail how a woman and her team launched the software that took mankind to the Moon. [Directed by TOTEM Studio, narrated by Bethany Cutmore-Scott, music by Julián André].",Posted Mar 2020,https://www.ted.com/talks/matt_porter_and_margaret_hamilton_how_one_woman_put_man_on_the_moon,
429ab8f1396554b0ac090830e8d9f7b3,Kay M. Tye,What investigating neural pathways can reveal about mental health,"Neuroscientist Kay M. Tye investigates how your brain gives rise to complex emotional states like depression, anxiety or loneliness. From the cutting edge of science, she shares her latest findings -- including the development of a tool that uses light to activate specific neurons and create dramatic behavioral changes in mice. Learn how these discoveries could change the way you think about your mind -- and possibly uncover effective treatments for mental disorders.",Posted Mar 2020,https://www.ted.com/talks/kay_m_tye_what_investigating_neural_pathways_can_reveal_about_mental_health,
6e4888a48bcd85008f345c55c33777f6,Jill Seubert,How a miniaturized atomic clock could revolutionize space exploration,"Ask any deep space navigator like Jill Seubert what makes steering a spacecraft difficult, and they'll tell you it's all about the timing; a split-second can decide a mission's success or failure. So what do you do when a spacecraft is bad at telling time? You get it a clock -- an atomic clock, to be precise. Let Seubert whisk you away with the revolutionary potential of a future where you could receive stellar, GPS-like directions -- no matter where you are in the universe.",Posted Mar 2020,https://www.ted.com/talks/jill_seubert_how_a_miniaturized_atomic_clock_could_revolutionize_space_exploration,
4965d66fe7fa73bd90934b473ea521f2,Jiabao Li,Art that reveals how technology frames reality,"In a talk that could change how you see things, designer and artist Jiabao Li introduces her conceptual projects that expose the inherent bias of digital media. From a helmet that makes you ""allergic"" to the color red to a browser plug-in that filters the internet in an unexpected way, Li's creations uncover how technology mediates the way we perceive reality.",Posted Mar 2020,https://www.ted.com/talks/jiabao_li_art_that_reveals_how_technology_frames_reality,
34c18c78deb9e4a7f769eef0a24d47cd,David Heymann,What we do (and don't) know about the coronavirus,"What happens if you get infected with the coronavirus? Who's most at risk? How can you protect yourself? Public health expert David Heymann, who led the global response to the SARS outbreak in 2003, shares the latest findings about COVID-19 and what the future may hold. (Recorded February 27, 2020)",Posted Mar 2020,https://www.ted.com/talks/david_heymann_what_we_do_and_don_t_know_about_the_coronavirus,
6e7596269c3093f98e7cb62f036bc825,Alex Gendler,Can you solve the death race riddle?,"The night before the Death Race across the Wastelands is set to begin, your uncle, the great inventor Slate Kanoli, got kidnapped by the ruthless No-Side gang. The only way to get him back is to race his Coil Runner against the gang yourself. Win and they'll give back your uncle. Lose and you'll forfeit the Coil Runner and all his other creations. Can you win the race? Alex Gendler shows how. [Directed by Artrake Studio, narrated by Addison Anderson].",Posted Mar 2020,https://www.ted.com/talks/alex_gendler_can_you_solve_the_death_race_riddle,
