15,Taliban divisions deepen as Afghan women defy veil edict,"After decades of war, Baheer said it wouldn't have taken much on the 
Taliban's part to make Afghans content with their rule “an opportunity...",Al Arabiya,1 day ago,Afghanistan
16,"Witness backs up Ben Roberts-Smith's claims about Afghan insurgent's lawful 
death","Comrade of war hero and accused war criminal Ben Roberts-Smith backs up his 
claim an Afghani prisoner was shot dead in combat and not kicked off...",Daily Mail,6 hours ago,Afghanistan
17,"India, Italy talk Afghanistan situation, Ukraine war – Pajhwok ...","India, Italy talk Afghanistan situation, Ukraine war ... Italy have 
exchanged views on the Ukraine crisis and the situation in Afghanistan.",Pajhwok Afghan News,3 days ago,Afghanistan
18,Analysis | Russia Is Right: The U.S. Is Waging a Proxy War in ...,"The war in Ukraine isn't just a conflict between Moscow and Kyiv, ... The 
U.S. got revenge in Afghanistan and Nicaragua during the 1980s,...",The Washington Post,1 hour ago,Afghanistan
19,Afghanistan: Nearly 20 million going hungry | | UN News,"Fallout from the war in Ukraine continues to put pressure on Afghanistan's 
wheat supply, food commodities, agricultural inputs,...",UN News,19 hours ago,Afghanistan
20,Russia-Ukraine war: Meet the Afghan refugees fighting ...,"Russia-Ukraine war: Meet the Afghan refugees fighting Moscow's latest 
invasion. Afghans, many veterans of battles against the Taliban, have...",Middle East Eye,1 week ago,Afghanistan
21,"New York Times wins 3 Pulitzer Prizes, Reuters wins for feature photography","... journalists who have been killed covering the Ukraine war this year. 
... last July while on assignment covering the war in Afghanistan,...",Al Arabiya,14 hours ago,Afghanistan
22,Why Imran Khan's coup theory is so popular in Pakistan,"Though the U.S. launched hundreds of drone strikes and operations from 
Pakistan during the war in Afghanistan, Khan swore that he would...",Responsible Statecraft,4 hours ago,Afghanistan
23,Red Cross chief on Iran visit talks Afghans' plight,"Talks with Iranian officials at the foreign and interior ministries also 
focused on the fate of missing persons from the Iran-Iraq war in the...",France 24,16 hours ago,Afghanistan
24,War on terror dented Pak-Afghan trade,"War on terror dented Pak-Afghan trade. Traders want old border routes 
reopened so that they can go back to making a livelihood. HANIFULLAH May...",The Express Tribune,2 days ago,Afghanistan
25,'I Want to Meet With the Taliban': Tales of Trump's Head ...,"... Afghanistan war, which was the ostensible subject of the meeting. ... 
the discussion by outlining Afghanistan envoy Zalmay Khalilzad's...",Politico,1 day ago,Afghanistan
26,Zarifa Ghafari Says She'll Never Stop Fighting For Afghan ...,"Though my parents, like Zarifa, were born in Afghanistan, ... The poet and 
feminist Adrienne Rich said, ""War is an absolute failure of the...",Oprah Daily,16 hours ago,Afghanistan
27,"Supply chain of certain ammunition, spares impacted because of Ukraine war: 
Army chief","... spares impacted because of Ukraine war: Army chief ... not divert 
attention from the developments in Afghanistan and the Indo-Pacific,...",The New Indian Express,5 hours ago,Afghanistan
28,Iran concerned about extremism spillover from Afghan war - analysis,"The overall context is that Iran has a continued interest in the outcome of 
political changes in Afghanistan. It also sees this as part of a...",The Jerusalem Post,3 weeks ago,Afghanistan
29,"Russia may declare war on Ukraine on May 9 – and use it as a reason to 
double down on attacks","The Ukraine war is less than three months old and Russia has lost more 
soldiers now than during the 10-year Afghanistan war that it started...",The Conversation,3 days ago,Afghanistan
30,Biden's Ukraine-Russia war mission creep a slippery nuclear slope,"Biden's Russia-Ukraine war mission creep is an alarmingly slippery slope 
... Instead of just defeating Al Qaeda, the war in Afghanistan...",MSNBC News,3 days ago,Afghanistan
31,"Historian Adam Michnik: Putin's Invasion Of Ukraine Will End Like 
Brezhnev's Afghan War, And Spark A 'New Wave'","""In Russia, changes took place after wars were lost -- after the Finnish 
war, the Japanese war, the Afghan war, and now Ukraine,"" Michnik...",Radio Free Europe,3 weeks ago,Afghanistan
32,"Former Afghanistan Army General claims war 'only way forward' for nation's 
stability","Former Afghanistan Army General Claims War 'only Way Forward' For Nation's 
Stability. In a controversial statement, a former Afghan army general...",Republic World,1 week ago,Afghanistan
33,Fractures in the Extremist Landscape: Understanding and ...,"The August 2021 Taliban takeover of Afghanistan was not just bad news for 
the West: for the local chapter of the Islamic State, known as the...",Modern War Institute -,1 day ago,Afghanistan
34,War Crimes Hearing Revisits U.S. Soldiers’ Abuse of Detainees,"GUANT?NAMO BAY, Cuba — Defense lawyers are delving into the early days of 
detainee abuse in wartime Afghanistan in pretrial hearings in the...",The New York Times,1 week ago,Afghanistan
35,Transfer of US-Procured Afghan Helicopters to Ukraine Underway,"U.S.-led foreign troops finished withdrawing from Afghanistan on August 30 
after nearly two decades of war with Taliban insurgents.",VOA,5 days ago,Afghanistan
36,Generation Jihad Ep. 69 — An Afghanistan Update | FDD's ...,"Bill Roggio is a Senior Fellow at the Foundation for Defense of Democracies 
and the Editor of FDD's Long War Journal. Are you a dedicated reader...",The Long War Journal,7 hours ago,Afghanistan
37,"War veteran who fell in love with Afghanistan opened Afghan shop in 
Yorkshire","Afghanistan War veteran James Wilthew loved the country and its people so 
much he started a business selling their rugs.",Yorkshire Live,6 days ago,Afghanistan
38,2022 Pulitzer Prize: These photos by Marcus Yam won,"The U.S. was ending its longest war. ... 14, 2021; the following day, 
Afghanistan fell to the Taliban within hours, much to the surprise of...",Los Angeles Times,16 hours ago,Afghanistan
39,"Senior SAS soldier denies Roberts-Smith war crime claims were ‘swept under 
rug’","They have also called witnesses who say Roberts-Smith kicked an unarmed 
Afghan detainee off a cliff in 2012 before the man was shot dead.",Sydney Morning Herald,1 day ago,Afghanistan
40,Wars hot and cold: Revealing histories of the Soviet Union ...,"Brezhnev sent the troops into Afghanistan at a time that country was at war 
with itself. He did so against a background of military success...",The Irish Times,3 days ago,Afghanistan
41,"Peter Dutton’s department confirms defence minister has six Brereton 
oversight reports","... in role for 13 months, Dutton has never spoken in parliament about 
reforms stemming from alleged war crimes committed in Afghanistan.",The Guardian,18 hours ago,Afghanistan
42,"President Biden, don’t pass up the opportunity for a reset with Shahbaz 
Sharif’s Pakistan","Karachi port was crucial in both wars to get supplies to our Afghan allies 
and NATO forces in Afghanistan. Pursuing these wars was Washington's...",Brookings,2 weeks ago,Afghanistan
43,Australia 2022 Election Questionnaire,"Do you support compensation or other redress for Afghan victims of alleged 
war crimes and their families as recommended by the report?",Human Rights Watch,16 hours ago,Afghanistan
44,Greenwood native was lone Afghan linguist at Camp Atterbury,"By the time Stringer was studying Dari, the Sept. 11 attacks had happened 
and the U.S. was at war in Afghanistan and Iraq. He recalled being...",Daily Journal,3 hours ago,Afghanistan
45,"War vet, former police officer battles inner demons with song","As a former Afghanistan war veteran and police officer, Trude has been 
channelling decades of often highly traumatic life-altering...",Barrie Today,2 days ago,Afghanistan
46,Taliban Rule in Afghanistan | Crisis Group,"Richard Atwood and Naz Modirzadeh talk to Afghanistan experts ... What for 
years had been the world's deadliest war is mostly over and the...",International Crisis Group,4 days ago,Afghanistan
47,How sanctions became Biden’s weapon of choice against Russia,"Sanctions, long before the war in Ukraine, have become one of the ... Biden 
withdrew troops from Afghanistan last summer, cementing his turn...",Vox,1 day ago,Afghanistan
48,"Russia's War on Ukraine Is a Threat to Press Freedom, Report ...","The press freedom index highlighted that journalists in Afghanistan and 
Hong Kong have also come under increased constraints.",TIME,5 days ago,Afghanistan
49,White House Pushes for Afghan Refugee Relief After Visas Drop by 91%,"The drop-off in Afghan visa approvals has left tens of thousands of ... now 
focus on the plight of Ukrainians caught in a new European war.",Military.com,1 week ago,Afghanistan
50,Timeline of NATO expansion since 1949,"In August, Russia wins a short war with Georgia over the breakaway regions 
... The alliance remains in Afghanistan to train local security forces 
until the...",AP News,5 hours ago,Afghanistan
51,Pulitzers Live Updates: Slain photographer among winners,"Siddiqui, 38, had been embedded with Afghan special forces in July ... the 
frantic end of the United States' longest war and fallout from...",AP News,14 hours ago,Afghanistan
52,World Report 2022: Afghanistan,"Unlawful Killings, Enforced Disappearances, Violations of Laws of War. The 
United...",Human Rights Watch,13 Jan 2022,Afghanistan
53,"India, France call for immediate ceasefire in Ukraine, pledge to uphold 
peace, stability in Indo-Pacific","... and violation of human rights in Afghanistan and called for an 
inclusive and representative government in the war-ravaged country.",Jagran English,5 days ago,Afghanistan
54,The war in Ukraine is exacerbating food insecurity in ...,"Diaa Hadid chiefly covers Pakistan and Afghanistan for NPR News. She is 
based in NPR's bureau in Islamabad. There, Hadid and her team were...",WBFO,1 day ago,Afghanistan
55,"David Ashley, pilot who flew Harrier aircraft on missions over ...","In July 2005 he deployed to Kandahar in Afghanistan where he flew ... at 
the funeral of the then oldest surviving First World War veteran.",The Telegraph,22 hours ago,Afghanistan
56,Murky Militias in Forgotten Provinces Reveal Why Afghanistan ...,"Murky Militias in Forgotten Provinces Reveal Why Afghanistan War Isn't 
Over. Ghor can be viewed as a microcosm of the layered complexity of...",The Diplomat,20 Jan 2022,Afghanistan
57,"Calculating the costs of the Afghanistan War in lives, dollars and years","The U.S. invaded Afghanistan in late 2001 to destroy al-Qaida, remove the 
Taliban from power and remake the nation. On Aug.",The Conversation,1 Sep 2021,Afghanistan
58,"Afghanistan’s war will spread beyond its borders as Taliban advances, 
senior negotiator warns","This war will not be contained within the borders of Afghanistan,"" said 
Nader Nadery, a senior member of the Afghan Peace Negotiation Team.",CNBC,11 Aug 2021,Afghanistan
59,US 'lost' the 20-year war in Afghanistan: top US general,"""It is clear, it is obvious to all of us, that the war in Afghanistan did 
not end on the terms we wanted, with the Taliban in power in Kabul,""...",France 24,29 Sep 2021,Afghanistan
60,“We're Fundamentally at War”: Rep. Moulton Says U.S. in ...,"Vladimir Putin spoke as some U.S. lawmakers are openly describing the 
fighting in Ukraine as a proxy war between the United States and...",Democracy Now!,22 hours ago,Afghanistan
61,Remembering the Gains of the Afghanistan War - Lawfare,"11 attacks and the war in Afghanistan. The early years of the site were far 
more concerned with issues arising out of that conflict than they...",Lawfare Blog,9 Sep 2021,Afghanistan
62,"Costs of the Afghanistan war, in lives and dollars","At just short of 20 years, the now-ending U.S. combat mission in 
Afghanistan was America's longest war. Ordinary Americans tended to 
forget...",AP News,16 Aug 2021,Afghanistan
63,The U.S. War in Afghanistan Twenty Years On: Public Opinion Then and Now,"Two decades after the start of Operation Enduring Freedom, Americans view 
the war very differently. An Afghan flag flying in front of the White...",Council on Foreign Relations,7 Oct 2021,Afghanistan
64,"'Intelligence failure of the highest order' — How Afghanistan fell to the 
Taliban so quickly","“American troops cannot and should not be fighting in a war and dying in a 
war that Afghan forces are not willing to fight for themselves,”...",CNBC,16 Aug 2021,Afghanistan
65,"The failures of the Afghanistan War, explained","The two-decade Afghanistan War had a monumental impact on the United ... 
Sarwary, the president of the USC Afghan Student Association,...",Annenberg Media,12 Oct 2021,Afghanistan
66,The war in Afghanistan: How it started and how it is ending,"The war in Afghanistan: How it started and how it is ending · The Taliban 
military victories, especially in northern Afghanistan, where...",The Economic Times,9 Aug 2021,Afghanistan
67,Afghanistan War veteran who lost both legs says gaming saved his life,"Afghanistan War veteran who lost both legs says gaming saved his life · A 
former soldier from County Durham who lost both legs and several...",BBC,1 month ago,Afghanistan
68,The Big Unanswered Question of the Afghanistan War,"Editor's Note: What does the U.S. departure from Afghanistan imply for 
future wars? Rand Corp.'s Raphael Cohen argues that the Afghanistan...",Lawfare Blog,3 Oct 2021,Afghanistan
69,Remarks by President Biden on the End of the War in ...,"THE PRESIDENT: Last night in Kabul, the United States ended 20 years of war 
in Afghanistan — the longest war in American history.",The White House,31 Aug 2021,Afghanistan
70,"The history of Afghanistan and US ties, from the Cold War to 9/11","During the Cold War, both the US and the Soviet Union sought to gain 
footholds in Afghanistan, first through infrastructure investments and...",Vox,21 Aug 2021,Afghanistan
71,‘Flashback’: Ukraine war revives painful memories for Afghans,"Other Afghans look at the war and see parallels with their own more ... a 
woman from Afghanistan who works with refugees at a counselling...",Al Jazeera,1 month ago,Afghanistan
72,The war in Afghanistan has shaped an entire generation in the West,"The cost for the U.S. alone of the war in Afghanistan is estimated to be in 
the region of $2 trillion. Western and Afghan decisionmakers...",Brookings,2 Sep 2021,Afghanistan
73,"For Soviet-Afghan war veterans, Ukraine is a conflict 'without honour'","For Soviet-Afghan war veterans, Ukraine is a conflict 'without honour' ... 
he was drafted into the Soviet army to fight in Afghanistan.",Euronews,1 month ago,Afghanistan
74,"War in Afghanistan: How much did the US spend, troops killed ...","The number of years U.S. troops have been in Afghanistan, making it 
America's longest military engagement. Thousands of U.S. and NATO troops...",The Washington Post,20 Aug 2021,Afghanistan
75,"Outsourcing to contractors made Afghanistan war a business, says report","KABUL: The money from the United States government for the Afghan war 
ensured billions of dollars for military contractors, which in turn...",Times of India,3 Jan 2022,Afghanistan
76,"Hell at Abbey Gate: Chaos, confusion and death in the final ...","ProPublica and Alive in Afghanistan, or AiA, interviewed scores of ... For 
years, the Taliban had been at war with the Afghan police,...",Military Times,1 month ago,Afghanistan
77,Afghanistan: Government collapse marked by 'repeated war ...,"Afghanistan: Government collapse marked by 'repeated war crimes and ... The 
Taliban, United States military, and Afghan security forces were...",Amnesty International,15 Dec 2021,Afghanistan
78,A brief history of the Afghanistan War,"The Afghan president fled the country. Almost all of Afghanistan is now 
under Taliban control. It marks the end of an era: America's longest war...",Vox,1 Sep 2021,Afghanistan
79,"How the Russia-Ukraine war, Covid and climate change are ...","An Afghan family stands by the door of their home in the village Haji 
Rashid Khan. Afghanistan is facing the worst food crisis the country has...",RNZ,3 days ago,Afghanistan
80,Ukraine war: Why the West cannot afford to ignore Afghanistan,"The humanitarian crisis in Afghanistan is no longer a priority for Western 
powers, as they are busy dealing with the Ukraine war. The situation...",DW,14 Mar 2022,Afghanistan
81,Russia's war in Ukraine: lessons from Afghanistan,"When the Soviet 40th Army invaded Afghanistan on 27 December 1979, the 
Kremlin was “responding” to a call for assistance by its new Afghan...",Le News,1 month ago,Afghanistan
82,Biden defends Afghanistan pullout amid airport chaos,"The Taliban has declared the war in Afghanistan over, after its fighters 
swept into the capital, Kabul, and President Ashraf Ghani fled the...",Al Jazeera,16 Aug 2021,Afghanistan
83,Why the Soviet Union Invaded Afghanistan,"The 1979 invasion triggered a brutal, nine-year civil war and contributed 
significantly to the USSR's later collapse. On Christmas Eve 1979,...",HISTORY,4 Mar 2022,Afghanistan
84,"Afghanistan-Taliban Crisis Highlights: Afghan War Has Ended, Everyone 
Pardoned, Says Taliban","The Taliban said Tuesday the war in Afghanistan was over and that all their 
opponents would be pardoned, as they held their first news conference 
since...",NDTV.com,17 Aug 2021,Afghanistan
85,The U.S. failed in Afghanistan by trying to moralize with bullets and bombs,"It led to a profound reckoning: how could two decades of war end in such 
humiliating defeat at the hands of Taliban militants? In Afghanistan,...",The Conversation,9 Jan 2022,Afghanistan
86,Why the US lost the Afghan War,"“Military strategists are taught never to start a war without having a plan 
to end ... The Afghanistan Papers: A Secret History of the War”.",The Hindu Business Line,6 Dec 2021,Afghanistan
87,The war in Afghanistan — by the numbers,"Washington spent over $2 trillion on the Afghan conflict. This figure 
doesn't include the future interest on war borrowing, nor any future 
costs...",POLITICO,19 Aug 2021,Afghanistan
88,Biden says the era of U.S. nation building is over as he marks ...,"President Joe Biden in an address to the nation Tuesday defended his 
decision to end the U.S. war in Afghanistan after nearly 20 years of...",CNBC,31 Aug 2021,Afghanistan
89,Wanna Fight? Pushing Partners Aside in Afghanistan,"“Remember when we kept saying that we were on 'Afghan-led' missions? We 
were lying every time.” This July 2021 tweet by Robert O'Neill,...",War on the Rocks,11 Oct 2021,Afghanistan
90,Veterans and bi-partisan group of lawmakers look forward to ...,"Like other veterans of the war in Afghanistan, Zeller worked tirelessly to 
evacuate Afghans who fought alongside U.S. forces from the country.",Military Times,17 Dec 2021,Afghanistan
91,"I Was Deeply Involved in War in Afghanistan for More Than a Decade. Here's 
What We Must Learn","All of the U.S. armed forces were profoundly changed by the experiences in 
both Afghanistan and the war in Iraq that followed. Today, I watch...",TIME,16 Aug 2021,Afghanistan
92,Lessons to learn from the war in Afghanistan,"Lessons to learn from the war in Afghanistan ... With the 20-year Afghan 
debacle seemingly ended, the Taliban back where they were before...",Policy Options,11 Nov 2021,Afghanistan
93,Afghanistan War: What do veterans think about the withdrawal?,"A tragic failure in Afghanistan. ... In “Anatomy of an Afghan war tragedy,” 
David S. Cloud wrote for The Los Angeles Times in 2001 about how...",Deseret News,20 Aug 2021,Afghanistan
94,Why the U.S. Was Wrong About Ukraine and the Afghan War,"U.S. intelligence agencies thought the Afghan military would last longer 
and predicted Kyiv would fall faster, showing the difficulty of...",The New York Times,1 month ago,Afghanistan
95,Analysis | When and how Americans started souring on the ...,"This has been updated with the latest polling. Over the past 20 years, 
Americans' support for the war in Afghanistan has consistently waned.",The Washington Post,19 Aug 2021,Afghanistan
96,Opinion | The War on Terror Was Corrupt From the Start,"What stands out about the war in Afghanistan is the way that it became the 
Afghan economy. At least Iraq had oil. In Afghanistan, the war...",The New York Times,13 Sep 2021,Afghanistan
97,Could Ukraine be Putin’s Afghanistan?,"The Afghan people paid a horrible cost for the war. As I wrote in “What We 
Won: America's Secret War in Afghanistan,” at least a million Afghans...",Brookings,24 Feb 2022,Afghanistan
98,The Wrong Way to End the Afghanistan War,"The disengagement from Afghanistan should have gone in the following order: 
First, the removal of noncombat U.S. citizens and those Afghans...",The Wall Street Journal,19 Aug 2021,Afghanistan
99,Afghanistan war: Final phase of US involvement was worse ...,"The Taliban also insisted that the Afghan government free 5,000 prisoners. 
U.S. military officers who took part in the negotiations vowed to...",Slate Magazine,17 Dec 2021,Afghanistan
100,The Afghan War Ended With Zero M.I.A.s,"A U.S. Military First: The War in Afghanistan Ended With Zero M.I.A.s. 
After two decades of combat, there were no American troops missing in...",The New York Times,15 Oct 2021,Afghanistan
101,"Final US evacuation flights leave, ending America’s 20-year Afghanistan war","WASHINGTON (AP) — The United States completed its withdrawal from 
Afghanistan late Monday, ending America's longest war and closing a...",The Times of Israel,31 Aug 2021,Afghanistan
102,Afghanistan’s neighbours step up efforts to prevent civil war,"Afghanistan's neighbours are stepping up efforts to prevent the country 
sliding into a full-blown civil war after a rapid Taliban advance...",The Guardian,15 Jul 2021,Afghanistan
103,How did the Afghanistan War start?,"In 2001, America and its allies launched a “new and different war” on 
terrorism under the leadership of then president George W. Bush.",The Week UK,3 Sep 2021,Afghanistan
104,"Afghanistan War Went Wrong For These 7 Reasons, U.S. Watchdog Says","The conflict in Afghanistan is the longest war in U.S. history. It dates 
back to the Sept. 11 attacks, after which the Taliban — a harsh...",Forbes,17 Aug 2021,Afghanistan
105,Hell at Abbey Gate: Untold stories from the Afghanistan War’s final days,"Hell at Abbey Gate: Untold stories from the Afghanistan War's final days. 
Afghan civilians and U.S. Marines describe the desperate struggle to...",Task & Purpose,1 month ago,Afghanistan
106,Parallels with Afghanistan haunt Russians in Ukraine,"Yet, if anything, analysts say, this war is going far worse for Moscow. 
When Soviet troops poured over the Hindu Kush Mountains and into...",The Washington Post,1 month ago,Afghanistan
107,Opinion | The Afghanistan War Was Lost Before Biden Ended It,"In 2019, allied and government airstrikes in Afghanistan killed some 700 
civilians, more than in any other year since the war's start,...",The New York Times,23 Aug 2021,Afghanistan
108,Another proxy war in Afghanistan? | The Interpreter,"Another proxy war in Afghanistan? Aarti Betigeri. India and Pakistan both 
have deep ties to Afghanistan and as US troops withdraw, a...",Lowy Institute,26 Jul 2021,Afghanistan
109,"Timeline: How September 11, 2001 led to US’s longest war","The 20-year conflict left about 69,000 Afghan security forces and at ... to 
end the two wars in Iraq and Afghanistan – there is a surge in...",Al Jazeera,6 Sep 2021,Afghanistan
110,America's longest war: 20 years of missteps in Afghanistan,"WASHINGTON, Aug 16 (Reuters) - America's longest war is nearing its end, 
with a loss to the enemy it defeated in Afghanistan nearly 20 years...",Reuters,16 Aug 2021,Afghanistan
111,"Afghanistan war critics blame Biden for the current chaos. They need to 
look in the mirror.","... the misleading mantra of “endless war” to condemn the continuing 
presence of U.S. forces in Afghanistan and to demand that U.S. troops...",NBC News,25 Aug 2021,Afghanistan
112,Getting bin Laden Could've Ended the War in Afghanistan,"The One Thing That Could've Changed the War in Afghanistan. Had Osama bin 
Laden been killed or captured in December 2001, justice would have...",The Atlantic,15 Aug 2021,Afghanistan
113,Putin's War in Ukraine Could Tip Afghanistan Into Famine,"“Afghanistan is one huge humanitarian crisis,” Greb said, adding that along 
with Yemen and Lebanon it was already in a “very dire place” before...",Foreign Policy,1 month ago,Afghanistan
114,"The Afghan War, By The Numbers","The Afghan War, By The Numbers. What 20 years of fighting in Afghanistan 
cost — in dollars and in lives. By Ben King and Jeremy Singer-Vine.",BuzzFeed News,17 Aug 2021,Afghanistan
115,A Timeline Of Afghanistan's 4 Decades Of Instability,"A Look At Afghanistan's 40 Years Of Crisis — From The Soviet War To Taliban 
Recapture ... The collapse of the Afghan government and the Taliban's...",NPR,19 Aug 2021,Afghanistan
116,The US economic war on Afghanistan amounts to a humanitarian crime,"The war in Afghanistan did not end when US and UK troops left Kabul airport 
last year; it merely took a different, but still lethal, form.",The Guardian,6 Feb 2022,Afghanistan
117,The Once and Future Defeat in Afghanistan,"“Everyone is failing us.” These were the first words that Ashraf Ghani 
uttered — not as he fled the advancing Taliban on Aug.",War on the Rocks,1 Nov 2021,Afghanistan
118,Afghanistan War Has Been Hugely Profitable,"Was the Afghanistan War a failure? Not for the top five defense contractors 
and their shareholders.",The Intercept,16 Aug 2021,Afghanistan
119,"From Taliban bullets to Russian bombs: war chases Afghan refugee across 
Europe","From Taliban bullets to Russian bombs: war chases Afghan refugee across 
Europe. Fatima thought she had found safety and a new life – but six...",The Guardian,8 Mar 2022,Afghanistan
120,Russia's Invasion of Ukraine Helps the Taliban and Makes ...,"An active war in Europe is bad news for Afghanistan, as this draws away 
resources, sympathy and attention from the millions of Afghans that...",United States Institute of Peace,1 month ago,Afghanistan
121,Aid cut-off may kill more Afghans than war,"Aid cut-off may kill more Afghans than war. Urgent action is needed by the 
international community to prevent catastrophic hunger in Afghanistan...",Al Jazeera,4 Dec 2021,Afghanistan
122,Afghanistan conflict: Kabul falls to Taliban as president flees,"The government has collapsed, with President Ashraf Ghani fleeing. A 
spokesman for the group has told news network Al Jazeera: ""The war is over.",BBC,16 Aug 2021,Afghanistan
123,What is in store for Afghanistan in 2022?,"The economy of the war-ravaged country has collapsed, and many Afghans are 
starving. The international community, however, doesn't want to...",DW,23 Dec 2021,Afghanistan
124,Taliban claims victory in Panjshir as it calls to end war,"The visit came with Washington seeking support for the evacuation of 
Americans and at-risk Afghans left behind in Afghanistan after the 
Taliban...",Al Jazeera,6 Sep 2021,Afghanistan
125,The Secret History of the U.S. Diplomatic Failure in Afghanistan,"On April 14th, President Joe Biden ended the longest war in United States 
history, announcing that the last remaining American troops in...",The New Yorker,10 Dec 2021,Afghanistan
126,Afghanistan only the latest US war to be driven by deceit and delusion,"American hubris reemerged, this time as “the global war on terror.” 
Afghanistan is now the poster child for the sense that the U.S. can...",The Conversation,17 Aug 2021,Afghanistan
127,Joe Biden never ended the war in Afghanistan,"President Joe Biden withdrew all U.S. troops from Afghanistan in August. 
But unbeknownst to most of the public, he didn't end the war.",MSNBC News,20 Jan 2022,Afghanistan
128,How The War In Ukraine Is Affecting Afghanistan's Growing ...,"It's been more than six months since the Taliban took over Afghanistan, 
displacing hundreds of thousands. The United Nations refugee agency...",NPR,1 month ago,Afghanistan
129,Staring at civil war: How bad is the situation in Afghanistan?,"Taliban fighters are advancing across Afghanistan, an offensive that has 
accelerated as US and NATO troops withdraw from the country after a...",WION,10 Jul 2021,Afghanistan
130,Pakistan’s Imran Khan warns of ‘civil war’ in Afghanistan,"Islamabad, Pakistan – Pakistani Prime Minister Imran Khan has warned of the 
risk of a “civil war” in Afghanistan if the Taliban is unable to...",Al Jazeera,22 Sep 2021,Afghanistan
131,Longest war: Were America's decades in Afghanistan worth it?,"As President Joe Biden ends the U.S. combat role in Afghanistan this month, 
Americans and Afghans are questioning whether the war was worth...",AP News,14 Aug 2021,Afghanistan
132,How suicide became the hidden cost of the Afghanistan war,"“You can never undo the fact that we fought well together,” his words 
echoed with me as if in epitaph to the Afghan war.",The Times,15 Jan 2022,Afghanistan
133,"'Forever War' in Afghanistan Comes to Abrupt, Tragic End","The final throes of the United States' 20-year military engagement in 
Afghanistan guarantee that the war many Americans would have preferred...",VOA,17 Aug 2021,Afghanistan
134,"The war in Afghanistan, by the numbers","The war in Afghanistan -- launched on October 7, 2001 in the wake of ... US 
and foreign troops having all but withdrawn from Afghanistan:.",France 24,6 Jul 2021,Afghanistan
135,Congressional Armed Services Committee Leaders Unveil ...,"Congressional Armed Services Committee Leaders Unveil Afghanistan War 
Commission Members · Colin Jackson, chair of Naval War College's 
Strategic...",ExecutiveGov,1 month ago,Afghanistan
136,Afghanistan six months on from the Taliban takeover – photo ...,"Already scarred by four decades of war, Afghanistan's rapid regime change 
has left a mark that will take a long time to process.",The Guardian,4 Mar 2022,Afghanistan
